n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
413,0.00215,-,0.03904,0.03964,0.03976,0.03857
414,0.00209,-,0.03912,0.03836,0.03728,0.03752
415,0.00211,-,0.03945,0.03839,0.03697,0.03666
416,0.00213,-,0.03947,0.03959,0.03974,0.03958
417,0.00212,-,0.03882,0.03585,0.03752,0.03752
418,0.00207,-,0.03540,0.03584,0.03879,0.03746
419,0.00214,-,0.03823,0.03758,0.03754,0.03752
420,0.00210,-,0.03759,0.03881,0.03844,0.03884
421,0.00254,-,0.03964,0.03815,0.04005,0.03722
422,0.00233,-,0.03856,0.03977,0.03940,0.03571
423,0.00250,-,0.03956,0.03754,0.03646,0.03995
424,0.00229,-,0.03977,0.03841,0.03939,0.03992
425,0.00222,-,0.03828,0.03877,0.03885,0.03900
426,0.00223,-,0.03636,0.03885,0.03978,0.03874
427,0.00212,-,0.03952,0.03853,0.03978,0.03868
428,0.00218,-,0.03734,0.03822,0.03676,0.03845
429,0.00214,-,0.03654,0.03652,0.03888,0.03957
430,0.00220,-,0.03690,0.03724,0.03738,0.03752
431,0.00214,-,0.03908,0.03783,0.03744,0.03752
432,0.00212,-,0.03513,0.03775,0.03753,0.03752
433,0.00210,-,0.03954,0.03961,0.03765,0.03699
434,0.00220,-,0.03958,0.03735,0.03738,0.03752
435,0.00213,-,0.03533,0.03918,0.03961,0.03767
436,0.00206,-,0.03947,0.03842,0.03876,0.03598
437,0.00210,-,0.03694,0.03599,0.03771,0.03851
438,0.00209,-,0.03799,0.03838,0.03603,0.03762
439,0.00217,-,0.03736,0.03755,0.03752,0.03877
440,0.00213,-,0.03619,0.03878,0.03974,0.03788
441,0.00213,-,0.03745,0.03963,0.03976,0.03973
442,0.00209,-,0.03747,0.03961,0.03695,0.03836
443,0.00206,-,0.03449,0.03841,0.03656,0.03841
444,0.00205,-,0.03944,0.03954,0.03964,0.03474
445,0.00216,-,0.03904,0.03880,0.03983,0.03915
446,0.00215,-,0.03768,0.03960,0.03801,0.03973
447,0.00208,-,0.03949,0.03958,0.03970,0.03972
448,0.00207,-,0.03949,0.03962,0.03884,0.03603
449,0.00213,-,0.03788,0.03957,0.03972,0.03788
450,0.00210,-,0.03833,0.03587,0.03674,0.03754
451,0.00209,-,0.03946,0.03770,0.03611,0.03756
452,0.00208,-,0.03912,0.03820,0.03967,0.03971
453,0.00211,-,0.03668,0.03960,0.03976,0.03649
454,0.00210,-,0.03942,0.03928,0.03581,0.03927
455,0.00212,-,0.03759,0.03753,0.03945,0.03982
